Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
02:31.3,G,5,G5,4,G5-4,T5,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:32.0,G,5,G5,5,G5-5,T5,4,400,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:33.3,G,6,G6,1,G6-1,T6,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:33.9,G,6,G6,2,G6-2,T6,5,500,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:34.6,G,6,G6,3,G6-3,T6,13,1300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:35.2,G,6,G6,4,G6-4,T6,3,300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:35.8,G,6,G6,5,G6-5,T6,7,700,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:37.1,G,7,G7,1,G7-1,T7,13,1300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:37.7,G,7,G7,2,G7-2,T7,6,600,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:38.4,G,7,G7,3,G7-3,T7,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:39.0,G,7,G7,4,G7-4,T7,5,500,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:39.6,G,7,G7,5,G7-5,T7,13,1300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:41.0,G,8,G8,1,G8-1,T8,1,100,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:41.7,G,8,G8,2,G8-2,T8,4,400,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:42.3,G,8,G8,3,G8-3,T8,8,800,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:42.9,G,8,G8,4,G8-4,T8,4,400,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:43.5,G,8,G8,5,G8-5,T8,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
5.683976,H,1,H1,1,H1-1,T1,7,700,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
6.312981,H,1,H1,2,H1-2,T1,1,100,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
6.93398,H,1,H1,3,H1-3,T1,59,5900,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
7.508992,H,1,H1,4,H1-4,T1,30,3000,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
8.096999,H,1,H1,5,H1-5,T1,0,0,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
9.64698,H,2,H2,1,H2-1,T2,2,200,Test,6,"Imaged second time because first images were blurry, DILUTED 2:198, so cell count multiplied by 100"
